2018-08-28 08:13:47,253 [Start Help Server] INFO  org.eclipse.jetty.util.log - Logging initialized @84184ms
2018-08-28 08:13:47,575 [Start Help Server] INFO  org.eclipse.jetty.server.Server - jetty-9.3.9.v20160517
2018-08-28 08:13:47,647 [Start Help Server] INFO  o.e.j.server.handler.ContextHandler - Started o.e.j.s.ServletContextHandler@2edb55d0{/help,null,AVAILABLE}
2018-08-28 08:13:47,673 [Start Help Server] INFO  o.e.jetty.server.AbstractConnector - Started ServerConnector@3c0c26a3{HTTP/1.1,[http/1.1]}{127.0.0.1:53931}
2018-08-28 08:13:47,673 [Start Help Server] INFO  org.eclipse.jetty.server.Server - Started @84610ms
2018-08-28 08:38:05,238 [ModalContext] WARN  o.e.m.j.i.JavaProjectConversionParticipant - rhcontroller has multiple source entries, this is not supported yet
2018-08-28 08:38:12,272 [Worker-30] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: rhcontroller:rhcontroller:0.0.1-SNAPSHOT @ C:\Users\user\Documents\GitHub\big_data_proj\rhcontroller\pom.xml.
2018-08-28 08:38:14,412 [Worker-30] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /rhcontroller/src
2018-08-28 08:38:14,413 [Worker-30] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Not adding source folder /rhcontroller/src/test/java because it overlaps with /rhcontroller/src
2018-08-28 08:38:21,991 [Worker-28] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-08-28 08:38:22,035 [Worker-28] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\user\Documents\GitHub\big_data_proj\rhcontroller\src\main\resources
2018-08-28 08:38:22,070 [Worker-28] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-08-28 08:38:22,086 [Worker-30] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2018-08-28 08:38:22,090 [Worker-28] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\user\Documents\GitHub\big_data_proj\rhcontroller\src\test\resources
2018-08-28 08:38:22,934 [Worker-30] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: rhcontroller:rhcontroller:0.0.1-SNAPSHOT @ C:\Users\user\Documents\GitHub\big_data_proj\rhcontroller\pom.xml.
2018-08-28 08:38:24,081 [Worker-27] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-08-28 08:38:24,106 [Worker-27] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\user\Documents\GitHub\big_data_proj\rhcontroller\src\main\resources
2018-08-28 08:38:24,110 [Worker-27] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-08-28 08:38:24,147 [Worker-27] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\user\Documents\GitHub\big_data_proj\rhcontroller\src\test\resources
2018-08-28 08:38:24,148 [Worker-27] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of rhcontroller
2018-08-28 08:38:24,186 [Worker-27] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for rhcontroller
2018-08-28 08:38:24,192 [Worker-27] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.apache.maven.plugins:maven-clean-plugin:jar:2.5 is missing, no dependency information available
2018-08-28 08:38:24,221 [Worker-27] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-08-28 08:38:24,283 [Worker-30] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /rhcontroller/src
2018-08-28 08:38:24,294 [Worker-30] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Not adding source folder /rhcontroller/src/test/java because it overlaps with /rhcontroller/src
2018-08-28 08:38:25,968 [Worker-30] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Cleaning filtered folder for rhcontroller
2018-08-28 08:38:25,995 [Worker-30] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 3 sec
2018-08-28 08:38:26,112 [Worker-26] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-08-28 08:38:26,177 [Worker-26] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\user\Documents\GitHub\big_data_proj\rhcontroller\src\main\resources
2018-08-28 08:38:26,180 [Worker-26] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-08-28 08:38:26,219 [Worker-26] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\user\Documents\GitHub\big_data_proj\rhcontroller\src\test\resources
2018-08-28 08:38:26,219 [Worker-26] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of rhcontroller
2018-08-28 08:38:26,244 [Worker-26] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for rhcontroller
